Nankai	134.96817732571714	32.31015154072207	50.043046322690735
Izu-Bonin-Mariana	144.17648314221094	23.883003497710977	11.87021775466617
EPR 8-11N ISS	256.01701111421585	9.476246498462496	117.78209041174777
Endeavour ISS	230.9170540503326	47.919322276070886	301.78734107187364
Lau Basin ISS	184.2460212471508	-20.76378200243998	77.1320930232558
Gulf of California	247.7356216802728	28.347635328991416	24.400634067076343
Costa Rica	271.46875000000006	11.117081132795937	27.0
Red Sea	42.8975114986975	22.158988420139597	12.459821931702919
New Zealand	179.7641624500149	-42.7186978563988	16.911219725707614
Papua New Guinea	142.56239707756916	-6.273435721827227	21.00856404911867
